date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-03-04,0,5,1,3,7,0
2020-03-05,-1,3,3,2,5,0
2020-03-06,-1,2,0,3,5,1
2020-03-07,0,6,2,5,7,0
2020-03-08,2,9,2,3,6,0
2020-03-09,-1,6,4,-6,-12,3
2020-03-10,-19,-23,-4,-22,-44,11
2020-03-11,-5,-1,-2,-1,-5,1
2020-03-12,-3,1,2,0,0,0
2020-03-13,-5,1,0,-2,0,1
2020-03-14,-11,-3,-6,-8,-6,4
2020-03-15,-11,-1,-6,-7,2,3
2020-03-16,-8,2,-1,-6,-4,3
2020-03-17,-11,0,-2,-9,-8,3
2020-03-18,-12,1,-6,-10,-8,4
2020-03-19,-16,1,-7,-14,-11,5
2020-03-20,-22,1,-13,-18,-15,7
2020-03-21,-34,-4,-23,-25,-18,8
2020-03-22,-78,-76,-58,-70,-49,21
2020-03-23,-54,-27,-35,-52,-50,20
2020-03-24,-68,-48,-44,-64,-65,25
2020-03-25,-77,-64,-53,-73,-72,30
2020-03-26,-76,-64,-51,-73,-70,30
2020-03-27,-77,-64,-52,-73,-70,31
2020-03-28,-78,-65,-54,-73,-66,29
2020-03-29,-77,-65,-57,-71,-47,22
2020-03-30,-76,-63,-51,-74,-68,30
2020-03-31,-75,-63,-50,-73,-68,29
2020-04-01,-76,-64,-52,-73,-68,29
2020-04-02,-76,-65,-51,-74,-69,30
2020-04-03,-76,-62,-51,-73,-67,30
2020-04-04,-77,-64,-53,-73,-61,28
2020-04-05,-77,-65,-56,-71,-43,21
2020-04-06,-76,-63,-50,-73,-68,30
2020-04-07,-78,-53,-46,-67,-67,28
2020-04-08,-78,-52,-48,-68,-67,29
2020-04-09,-78,-54,-48,-68,-68,30
2020-04-10,-79,-53,-48,-69,-69,32
2020-04-11,-80,-55,-52,-69,-64,30
2020-04-12,-79,-56,-54,-67,-44,22
2020-04-13,-78,-53,-48,-69,-66,31
2020-04-14,-78,-55,-47,-69,-69,30
2020-04-15,-78,-51,-48,-66,-64,29
2020-04-16,-85,-44,-60,-65,-65,30
2020-04-17,-85,-43,-60,-65,-65,31
2020-04-18,-87,-50,-66,-67,-60,28
2020-04-19,-86,-50,-68,-65,-42,22
2020-04-20,-86,-47,-62,-67,-63,30
2020-04-21,-85,-47,-62,-66,-64,29
2020-04-22,-86,-46,-63,-66,-63,29
2020-04-23,-86,-47,-62,-66,-64,30
2020-04-24,-85,-44,-63,-66,-63,30
2020-04-25,-86,-46,-65,-66,-59,29
2020-04-26,-86,-51,-68,-66,-41,22











