active,imported
22,15.0
2,2.0
1,1.0
3,2.0
5,3.0
9,6.0
15,2.0
8,7.0
10,10.0
10,5.0
11,11.0
10,5.0
14,12.0
20,14.0
25,21.0
27,27.0
58,34.0
78,35.0
69,45.0
94,55.0
74,38.0
86,34.0
73,24.0
153,40.0
136,16.0
120,20.0
187,11.0
309,20.0
424,7.0
486,8.0
560,6.0
579,3.0
609,1.0
484,0.0
573,0.0
565,0.0
813,0.0
871,0.0
854,0.0
758,0.0
1243,0.0
1031,0.0
886,0.0
1061,0.0
922,0.0
1371,0.0
1580,0.0
1239,0.0
1537,0.0
1292,0.0
1667,0.0
1408,0.0
1835,0.0
1607,0.0
1568,0.0
1902,0.0
1705,0.0
1801,0.0
2396,0.0
2437,0.0
